dim_column,dim_row,buffer_seconds,duration_seconds,buffer_lambda,duration_lambda,column,row,max_id,average_buffer_time,average_duration_time,total_board_avg_buf,total_board_avg_dur
10,10,100.0,50.0,0.01,0.02,0,0,9,114.069059365,64.8677893776,767.442193584,394.936920132
10,10,100.0,50.0,0.01,0.02,1,0,7,123.616965475,35.910666353,767.442193584,394.936920132
10,10,100.0,50.0,0.01,0.02,2,0,7,103.503453767,58.39600371,767.442193584,394.936920132
10,10,100.0,50.0,0.01,0.02,3,0,7,115.690082402,62.9566841822,767.442193584,394.936920132
10,10,100.0,50.0,0.01,0.02,4,0,7,98.0254679456,56.5111796054,767.442193584,394.936920132
10,10,100.0,50.0,0.01,0.02,5,0,7,106.140976308,48.7814630395,767.442193584,394.936920132
10,10,100.0,50.0,0.01,0.02,6,0,7,119.499264102,37.0942870996,767.442193584,394.936920132
10,10,100.0,50.0,0.01,0.02,7,0,6,171.093103746,46.9007366022,767.442193584,394.936920132
10,10,100.0,50.0,0.01,0.02,8,0,8,62.0577000968,79.419748687,767.442193584,394.936920132
10,10,100.0,50.0,0.01,0.02,9,0,7,74.6660313478,83.1033429481,767.442193584,394.936920132
10,10,100.0,50.0,0.01,0.02,0,1,7,170.042699605,48.5302410697,767.442193584,394.936920132
10,10,100.0,50.0,0.01,0.02,1,1,9,66.313346627,58.3446764999,767.442193584,394.936920132
10,10,100.0,50.0,0.01,0.02,2,1,7,142.737307741,39.5400769757,767.442193584,394.936920132
10,10,100.0,50.0,0.01,0.02,3,1,7,104.779020251,86.3257171679,767.442193584,394.936920132
10,10,100.0,50.0,0.01,0.02,4,1,4,190.3272304,97.0693089469,767.442193584,394.936920132
10,10,100.0,50.0,0.01,0.02,5,1,7,118.249496169,49.3782824854,767.442193584,394.936920132
10,10,100.0,50.0,0.01,0.02,6,1,7,82.2086646258,85.0489366116,767.442193584,394.936920132
10,10,100.0,50.0,0.01,0.02,7,1,11,54.7578920291,40.727160887,767.442193584,394.936920132
10,10,100.0,50.0,0.01,0.02,8,1,6,136.641758258,42.063127197,767.442193584,394.936920132
10,10,100.0,50.0,0.01,0.02,9,1,8,53.0789416608,91.0671920475,767.442193584,394.936920132
10,10,100.0,50.0,0.01,0.02,0,2,8,99.2950859848,60.3611265676,767.442193584,394.936920132
10,10,100.0,50.0,0.01,0.02,1,2,9,65.2075845678,59.2926053136,767.442193584,394.936920132
10,10,100.0,50.0,0.01,0.02,2,2,8,108.303555451,24.5121996605,767.442193584,394.936920132
10,10,100.0,50.0,0.01,0.02,3,2,13,43.0940565995,50.3872149103,767.442193584,394.936920132
10,10,100.0,50.0,0.01,0.02,4,2,8,121.532991491,61.2309396254,767.442193584,394.936920132
10,10,100.0,50.0,0.01,0.02,5,2,8,112.071620582,29.7913154755,767.442193584,394.936920132
10,10,100.0,50.0,0.01,0.02,6,2,8,106.552631539,28.6418481704,767.442193584,394.936920132
10,10,100.0,50.0,0.01,0.02,7,2,13,61.2495072984,24.9390546994,767.442193584,394.936920132
10,10,100.0,50.0,0.01,0.02,8,2,6,112.435151861,73.1535139874,767.442193584,394.936920132
