dim_col,dim_row,round,drone_speed,sec_Buf,sec_Dur,lam_Buf,lam_Dur,random,col,row,time,event_id,mssd_evnts
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,0,0,0,0,9,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,1,0,1531302228.64,1,7
1,0,1531302245.0,1,7
1,0,1531302553.42,4,7
1,0,1531302568.48,4,7
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,2,0,0,0,8,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,3,0,0,0,7,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,4,0,0,0,13,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,5,0,0,0,11,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,6,0,0,0,5,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,7,0,0,0,8,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,8,0,0,0,8,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,9,0,0,0,14,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,0,1,1531302257.7,2,5
0,1,1531302330.69,3,5
0,1,1531302346.13,3,5
0,1,1531302499.12,4,5
0,1,1531302511.53,4,5
0,1,1531302526.55,4,5
0,1,1531302540.19,4,5
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,1,1,0,0,6,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,2,1,0,0,8,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,3,1,0,0,6,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,4,1,0,0,9,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,5,1,0,0,10,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,6,1,0,0,10,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,7,1,0,0,9,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,8,1,0,0,5,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,9,1,0,0,8,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,0,2,0,0,10,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,1,2,1531302719.38,2,4
1,2,1531302806.41,4,4
1,2,1531302819.33,4,4
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,2,2,0,0,6,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,3,2,0,0,8,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,4,2,0,0,7,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,5,2,0,0,8,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,6,2,0,0,7,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,7,2,0,0,10,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,8,2,0,0,5,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,9,2,0,0,9,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,0,3,1531302460.9,3,6
0,3,1531302473.5,3,6
0,3,1531302605.03,4,6
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,1,3,1531302651.66,3,8
1,3,1531302712.72,3,8
1,3,1531302749.15,3,8
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,2,3,0,0,5,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,3,3,0,0,10,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,4,3,0,0,6,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,5,3,0,0,7,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,6,3,0,0,5,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,7,3,0,0,8,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,8,3,0,0,5,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,9,3,0,0,4,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,0,4,0,0,4,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,1,4,1531302631.74,7,8
1,4,1531302656.5,7,8
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,2,4,0,0,9,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,3,4,0,0,9,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,4,4,0,0,10,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,5,4,0,0,8,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,6,4,0,0,10,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,7,4,0,0,11,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,8,4,0,0,6,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,9,4,0,0,11,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,0,5,0,0,8,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,1,5,0,0,6,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,2,5,0,0,9,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,3,5,0,0,10,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,4,5,0,0,10,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,5,5,0,0,8,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,6,5,0,0,9,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,7,5,0,0,8,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,8,5,0,0,4,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,9,5,0,0,7,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,0,6,0,0,4,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,1,6,1531302924.13,8,9
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,2,6,1531302917.57,7,8
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,3,6,0,0,10,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,4,6,0,0,6,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,5,6,0,0,9,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,6,6,0,0,13,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,7,6,0,0,9,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,8,6,0,0,9,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,9,6,0,0,6,
10,10,974.592770203,10,100.0,31.25,0.01,0.032,0,0,7,0,0,3,
