dim_col,dim_row,round,drone_speed,sec_Buf,sec_Dur,lam_Buf,lam_Dur,random,col,row,time,event_id,mssd_evnts
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,0,0,0,0,7,
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,1,0,0,0,4,
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,2,0,0,0,6,
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,3,0,0,0,8,
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,4,0,0,0,9,
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,5,0,1531253942.23,1,4
5,0,1531254645.35,5,4
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,6,0,0,0,8,
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,7,0,1531254740.63,5,5
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,8,0,0,0,5,
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,9,0,1531253960.95,1,4
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,0,1,1531254010.22,1,4
0,1,1531254447.24,2,4
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,1,1,0,0,4,
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,2,1,0,0,5,
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,3,1,1531254557.95,4,6
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,4,1,1531253990.75,1,5
4,1,1531254635.08,4,5
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,5,1,1531253985.92,1,7
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,6,1,1531253981.39,1,4
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,7,1,0,0,8,
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,8,1,0,0,4,
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,9,1,1531253966.99,1,5
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,0,2,1531254442.91,4,7
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,1,2,1531254022.2,1,2
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,2,2,1531254537.31,3,4
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,3,2,1531254031.05,3,6
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,4,2,1531254035.89,1,3
4,2,1531254630.75,3,3
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,5,2,1531254040.42,2,5
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,6,2,1531254726.03,3,2
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,7,2,1531254751.32,4,4
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,8,2,1531254053.91,2,5
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,9,2,1531254850.9,7,7
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,0,3,0,0,5,
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,1,3,1531254104.53,1,3
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,2,3,1531254532.99,2,3
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,3,3,1531254094.66,1,3
3,3,1531254566.81,4,3
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,4,3,1531254626.43,5,6
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,5,3,0,0,6,
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,6,3,1531254080.28,1,6
6,3,1531254721.7,6,6
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,7,3,1531254075.55,2,6
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,8,3,1531254070.72,1,6
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,9,3,1531254065.19,1,5
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,0,4,1531254115.6,1,1
0,4,1531254434.25,1,1
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,1,4,1531254478.43,2,5
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,2,4,1531254125.97,2,3
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,3,4,1531254130.8,2,4
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,4,4,1531254622.1,4,6
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,5,4,0,0,6,
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,6,4,1531254144.92,1,5
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,7,4,1531254760.58,3,2
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,8,4,0,0,5,
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,9,4,1531254860.77,4,4
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,0,5,0,0,9,
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,1,5,1531254205.42,3,4
1,5,1531254482.75,4,4
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,2,5,1531254524.33,3,4
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,3,5,0,0,5,
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,4,5,1531254191.01,1,1
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,5,5,1531254185.98,2,6
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,6,5,1531254181.15,3,5
6,5,1531254712.63,6,5
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,7,5,1531254176.33,2,5
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,8,5,1531254171.59,2,4
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,9,5,1531254865.5,7,7
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,0,6,1531254216.7,3,3
0,6,1531254425.7,3,3
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,1,6,1531254222.73,2,8
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,2,6,1531254520.0,4,7
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,3,6,1531254579.79,6,7
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,4,6,1531254613.43,4,5
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,5,6,0,0,9,
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,6,6,1531254246.19,4,7
10,10,200,10,100.0,83.3333333333,0.01,0.012,0,7,6,1531254769.73,3,3
