dim_column,dim_row,buffer_seconds,duration_seconds,buffer_lambda,duration_lambda,column,row,max_id,average_buffer_time,average_duration_time,total_board_avg_buf,total_board_avg_dur
10,10,100.0,35.7142857143,0.01,0.028,0,0,6,136.08355382,38.4960347,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,1,0,9,94.0154816074,24.865309694,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,2,0,12,66.9972040418,36.5557415237,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,3,0,9,96.1038370402,38.0469215402,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,4,0,9,107.799085326,34.1655404497,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,5,0,6,197.616454617,29.3118298395,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,6,0,7,176.948383881,44.085121088,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,7,0,7,115.371374112,34.4863315965,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,8,0,10,74.4755663883,43.034755292,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,9,0,7,121.535146977,41.1323306878,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,0,1,7,109.346976593,40.1888854777,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,1,1,6,144.774139325,31.8715859994,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,2,1,10,81.3257151062,31.122392817,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,3,1,7,94.9421029248,54.6103901594,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,4,1,10,80.5862238322,32.3021806995,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,5,1,10,61.9037351133,43.0054713344,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,6,1,7,121.614895138,29.9802473826,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,7,1,8,100.520914893,46.6280471335,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,8,1,9,87.2602791604,36.9712180224,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,9,1,10,71.4719061492,33.735341523,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,0,2,5,202.122554403,38.897643006,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,1,2,7,129.402717087,23.6821635539,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,2,2,11,77.6589766806,25.3022738091,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,3,2,9,106.647050404,41.3706834288,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,4,2,7,114.44926723,60.7268363003,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,5,2,8,119.128278977,29.4540768796,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,6,2,6,162.993431862,24.6922925652,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,7,2,10,68.1716617505,44.8796125761,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,8,2,9,118.691499002,42.4279845077,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,9,2,8,75.4652911577,58.5785615187,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,0,3,6,153.462624377,26.7959997858,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,1,3,11,73.1054090061,23.017028867,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,2,3,8,115.212492286,24.2762512404,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,3,3,8,96.1317688794,55.6862228599,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,4,3,10,87.9670129257,32.0651071419,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,5,3,9,89.8232658635,32.0164541123,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,6,3,7,136.806304094,41.7088886941,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,7,3,9,134.817852258,22.9744980416,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,8,3,8,92.3123074184,46.0231780292,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,9,3,5,155.401769531,65.0774134989,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,0,4,10,78.1755016498,53.8943039977,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,1,4,9,87.6658799202,38.428323995,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,2,4,9,87.1250687202,31.7333197538,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,3,4,13,40.8189071621,42.4529049119,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,4,4,6,143.291246063,41.1971238113,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,5,4,8,113.111591419,19.9039781885,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,6,4,9,79.1030287641,38.7980266446,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,7,4,9,99.4453067139,30.3416881096,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,8,4,8,122.195680275,26.1505085626,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,9,4,8,83.9342590493,52.4403378497,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,0,5,8,108.673998927,23.9414364596,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,1,5,10,97.0314248242,27.5930040555,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,2,5,8,114.085693585,24.3348882022,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,3,5,7,118.335014938,44.1929827159,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,4,5,11,80.90440799,28.5141915826,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,5,5,11,71.7417280131,26.5093556459,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,6,5,13,51.4858682479,32.3425913007,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,7,5,5,225.013301865,41.465640471,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,8,5,6,167.860446254,35.7972242618,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,9,5,11,62.1378828885,34.7304744076,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,0,6,7,110.542266044,45.2232993642,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,1,6,9,100.171860864,30.034671441,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,2,6,13,41.591534247,43.1656744835,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,3,6,7,88.7226691075,63.3203378653,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,4,6,8,116.738912478,34.2908058097,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,5,6,8,112.749643286,23.9490971979,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,6,6,8,103.191273184,30.6889810565,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,7,6,10,54.5949172009,59.332235181,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,8,6,7,95.4633892411,58.9169793163,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,9,6,7,133.975647598,18.8449592739,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,0,7,8,94.0984869636,42.9016507137,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,1,7,7,147.355526338,24.0656902963,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,2,7,8,120.277222152,23.9049316753,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,3,7,7,131.365178404,44.0786503488,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,4,7,10,81.5387575295,33.6736851552,826.515736037,322.111164892
10,10,100.0,35.7142857143,0.01,0.028,5,7,4,233.54783208,49.8031371083,826.515736037,322.111164892
