dim_col,dim_row,round,drone_speed,sec_Buf,sec_Dur,lam_Buf,lam_Dur,random,col,row,time,event_id,mssd_evnts
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,0,0,0,0,5,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,1,0,1531273263.56,8,11
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,2,0,0,0,9,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,3,0,1531273361.13,8,8
3,0,1531272741.11,1,8
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,4,0,0,0,8,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,5,0,0,0,9,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,6,0,0,0,7,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,7,0,0,0,10,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,8,0,0,0,9,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,9,0,0,0,4,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,0,1,0,0,5,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,1,1,1531273270.12,2,4
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,2,1,0,0,10,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,3,1,0,0,14,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,4,1,1531272801.61,1,7
4,1,1531273447.3,5,7
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,5,1,1531272796.58,1,6
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,6,1,0,0,9,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,7,1,1531272786.92,1,4
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,8,1,1531273636.05,5,5
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,9,1,0,0,9,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,0,2,0,0,10,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,1,2,1531272834.21,1,6
1,2,1531273275.14,5,6
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,2,2,1531273346.22,3,5
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,3,2,1531273371.7,5,7
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,4,2,0,0,6,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,5,2,0,0,7,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,6,2,0,0,9,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,7,2,0,0,5,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,8,2,1531272867.43,3,8
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,9,2,0,0,10,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,0,3,1531272922.8,3,6
0,3,1531273244.64,5,6
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,1,3,0,0,7,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,2,3,0,0,9,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,3,3,0,0,15,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,4,3,0,0,8,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,5,3,0,0,5,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,6,3,0,0,8,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,7,3,0,0,7,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,8,3,0,0,6,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,9,3,0,0,11,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,0,4,1531272929.14,3,8
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,1,4,0,0,8,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,2,4,1531272939.41,2,7
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,3,4,1531273380.86,5,7
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,4,4,0,0,9,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,5,4,0,0,10,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,6,4,1531272957.92,2,6
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,7,4,0,0,10,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,8,4,1531272967.08,2,7
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,9,4,0,0,10,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,0,5,1531273021.62,1,5
0,5,1531273235.79,3,5
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,1,5,0,0,5,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,2,5,1531273011.46,2,7
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,3,5,1531273385.39,8,9
3,5,1531273006.93,5,9
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,4,5,1531273429.28,5,8
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,5,5,0,0,7,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,6,5,0,0,8,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,7,5,0,0,7,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,8,5,1531272983.69,2,7
8,5,1531273619.03,7,7
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,9,5,0,0,7,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,0,6,0,0,12,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,1,6,0,0,10,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,2,6,1531273037.82,4,5
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,3,6,1531273389.92,6,10
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,4,6,0,0,4,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,5,6,0,0,11,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,6,6,0,0,12,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,7,6,1531273581.1,9,10
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,8,6,0,0,12,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,9,6,0,0,8,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,0,7,1531273226.93,5,8
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,1,7,0,0,5,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,2,7,1531273324.59,7,7
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,3,7,1531273394.55,5,8
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,4,7,0,0,5,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,5,7,0,0,9,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,6,7,1531273090.27,4,12
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,7,7,0,0,6,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,8,7,0,0,9,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,9,7,0,0,12,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,0,8,0,0,10,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,1,8,0,0,9,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,2,8,0,0,9,
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,3,8,1531273139.41,5,10
10,10,200,10,100.0,29.4117647059,0.01,0.034,0,4,8,1531273144.04,2,7
